EmpID,Name,Gender,Date_of_Birth,Age,Join_Date,Tenure_in_org_in_months,GROSS,Net_Pay,Deduction,Deduction_percentage,Designation,Department,Education Level,Job Title,Years of Experience,Salary
19575.0,'Keven Norman',M,3/9/94,25.0,2/12/19,7.0,74922.0,71494.0,3428.0,4.58,'Product Operations Analyst.Associate.','IT Product Management  Ops',,,,
19944.0,'Kristin Werner',F,23/06/1994,26.0,13/01/2020,6.0,44375.0,39971.0,4404.0,9.92,'Platform Operations Engineer.Associate.','Platform Operations',,,,
20055.0,'Avery Barber',M,27/02/1996,24.0,14/11/2019,8.0,82263.0,77705.0,4558.0,5.54,'Platform Operations Engineer.Associate.','Platform Operations',,,,
20058.0,'Boris Gibson',M,29/09/1993,26.0,13/01/2020,6.0,44375.0,40164.0,4211.0,9.49,'Platform Operations Engineer.Associate.','Platform Operations',,,,
20332.0,'Leif Mack',M,1/5/91,29.0,4/6/18,25.0,235405.0,143963.0,91442.0,38.84,'Software Engineer.Senior.','Enterprise Access Engineering',,,,
20849.0,'Fredric Peters',M,29/04/1988,32.0,7/11/19,8.0,87300.0,57351.0,29949.0,34.31,'LMS Administrator II..','Learning  Development',,,,
20852.0,'Sherry Bowman',F,17/11/1992,27.0,13/01/2020,6.0,44375.0,39939.0,4436.0,10.0,'Platform Operations Engineer.Associate.','Platform Operations',,,,
21115.0,'Donte Richard',M,28/02/1996,24.0,13/01/2020,6.0,44375.0,41431.0,2944.0,6.63,'Platform Operations Engineer.Associate.','Platform Operations',,,,
21437.0,'Bobby Horton',M,13/11/1995,24.0,11/11/19,8.0,96995.0,91930.0,5065.0,5.22,'Technical Solutions Engineer.Associate.','AmaTec - Weekend TSE',,,,
22043.0,'Kenya Montoya',F,24/09/1995,24.0,13/01/2020,6.0,44375.0,39976.0,4399.0,9.91,'Platform Operations Engineer.Associate.','Platform Operations',,,,
22612.0,'Ola Lara',F,1/11/92,27.0,26/09/2019,9.0,99552.0,88551.0,11001.0,11.05,'Technical Solutions Engineer..','AmaTec - EMEA TSE',,,,
22651.0,'Graham Carey',M,1/6/95,25.0,13/01/2020,6.0,44375.0,39029.0,5346.0,12.05,'Platform Operations Engineer.Associate.','Platform Operations',,,,
22686.0,'Morgan Owens',M,14/05/1994,26.0,17/10/2019,8.0,68880.0,65566.0,3314.0,4.81,'Account Service Manager..','Americas- AMG',,,,
22689.0,'Angie Norton',F,9/8/90,29.0,17/10/2019,8.0,212250.0,127263.0,84987.0,40.04,'Software Engineer.Senior.','Corporate Systems',,,,
22708.0,'Jarvis Gamble',M,18/10/1992,27.0,21/10/2019,8.0,77795.0,70953.0,6842.0,8.79,'Network Administrator..','Enterprise Infrastructure Services',,,,
22709.0,'Otto Sweeney',M,27/09/1986,33.0,21/10/2019,8.0,175533.0,128537.0,46996.0,26.77,'Business Systems Analyst.Senior.','Corporate Systems',,,,
22720.0,'Lea Mccormick',F,27/08/1988,31.0,24/10/2019,8.0,96367.0,91567.0,4800.0,4.98,'Client Service Manager..','Americas- AMG',,,,
22726.0,'Marvin Mcguire',M,18/01/1989,31.0,21/10/2019,8.0,162667.0,114570.0,48097.0,29.57,'Business Operations Analyst.Senior.','Web Strategy',,,,
22727.0,'Booker Hodge',M,10/8/94,25.0,24/10/2019,8.0,106933.0,89377.0,17556.0,16.42,'Systems Support Engineer II..','IT DevOps',,,,
22730.0,'Fanny Reed',F,15/02/1996,24.0,24/10/2019,8.0,70417.0,65607.0,4810.0,6.83,'Server Tech Services Engineer..','Networks - EMEA Infrastructure',,,,
22750.0,'Long Forbes',M,2/1/93,27.0,28/10/2019,8.0,199333.0,139639.0,59694.0,29.95,'Data Scientist.Senior.','Security Engineering',,,,
22769.0,'Megan Mcneil',F,9/8/91,28.0,31/10/2019,8.0,167600.0,96868.0,70732.0,42.2,'Data Scientist.Senior.','Security Engineering',,,,
22770.0,'Chadwick Mcclure',M,9/4/86,34.0,31/10/2019,8.0,249933.0,88691.0,161242.0,64.51,'Software Engineer.Senior II.','GSS EPIC Engineering (HC COGS)',,,,
22771.0,'Eldon Reeves',M,15/02/1984,36.0,31/10/2019,8.0,162667.0,82096.0,80571.0,49.53,'Software Development Engineer in Test.Senior.','Storage Engineering',,,,
22772.0,'Jackie Fernandez',M,2/8/94,25.0,31/10/2019,8.0,123967.0,111941.0,12026.0,9.7,'Software Engineer II..','DPM Engineering',,,,
22782.0,'Deandre Francis',M,2/12/87,32.0,4/11/19,8.0,195114.0,134709.0,60405.0,30.96,'Software Engineer.Senior.','Enterprise Applications',,,,
22783.0,'Brent Cannon',M,13/07/1982,38.0,4/11/19,8.0,264109.0,174542.0,89567.0,33.91,'Support Delivery Manager..','AmaTec - SDM',,,,
22784.0,'Bradley Jarvis',M,20/06/1989,31.0,4/11/19,8.0,111591.0,105477.0,6114.0,5.48,'Global Corporate Card Specialist.Senior.','Global Procurement',,,,
22785.0,'Raphael Oconnor',M,8/12/80,39.0,4/11/19,8.0,252348.0,212151.0,40197.0,15.93,'Manager.Senior.Financial Operations','Finance - Customer Revenue Operations GA',,,,
22787.0,'Nikki Schroeder',F,18/05/1994,26.0,4/11/19,8.0,105552.0,99634.0,5918.0,5.61,'Technical Solutions Engineer..','AmaTec - Americas TSE',,,,
22788.0,'Herman Hester',M,9/9/82,37.0,4/11/19,8.0,175533.0,140203.0,35330.0,20.13,'Business Operations Analyst.Senior.','Web Division Sales Ops',,,,
22789.0,'Allan Shah',M,11/12/93,26.0,4/11/19,8.0,80132.0,75494.0,4638.0,5.79,'Platform Operations Engineer.Associate.','Platform Operations',,,,
22790.0,'Sasha Hammond',F,2/4/95,25.0,4/11/19,8.0,65856.0,60912.0,4944.0,7.51,'Account Service Manager..','EMEA - AMG',,,,
22792.0,'Richie Branch',M,18/09/1990,29.0,4/11/19,8.0,101334.0,94324.0,7010.0,6.92,'Platform Operations Engineer..','Platform Operations',,,,
22793.0,'Lon Howe',M,22/08/1991,28.0,4/11/19,8.0,95094.0,88199.0,6895.0,7.25,'Platform Operations Engineer..','Platform Operations',,,,
